Code départemental de l’établissement;Capacité de l’établissement par formation;Effectif des admis néo bacheliers généraux ayant eu une mention au bac;Sélectivité
60;15;0;formation sélective
60;18;0;formation sélective
60;32;1;formation sélective
60;15;2;formation sélective
60;15;1;formation sélective
60;30;4;formation sélective
60;30;0;formation sélective
60;33;0;formation sélective
60;33;0;formation sélective
60;35;4;formation sélective
60;28;0;formation sélective
60;16;0;formation sélective
60;20;1;formation sélective
60;35;3;formation sélective
60;30;1;formation sélective
60;50;3;formation non sélective
61;30;2;formation sélective
61;56;4;formation sélective
61;40;0;formation sélective
61;15;1;formation sélective
62;48;43;formation sélective
62;32;2;formation sélective
62;35;1;formation sélective
62;33;3;formation sélective
62;35;6;formation sélective
62;30;1;formation sélective
62;15;0;formation sélective
62;30;1;formation sélective
62;32;0;formation sélective
62;35;1;formation sélective
62;35;1;formation sélective
62;35;2;formation sélective
62;35;1;formation sélective
62;108;28;formation non sélective
62;20;2;formation sélective
62;18;0;formation sélective
62;40;3;formation sélective
62;122;29;formation sélective
62;65;10;formation sélective
62;30;0;formation sélective
62;30;0;formation sélective
62;35;9;formation sélective
62;30;0;formation sélective
62;35;6;formation sélective
62;30;1;formation sélective
62;70;23;formation non sélective
62;72;20;formation non sélective
62;45;17;formation non sélective
62;44;20;formation non sélective
62;60;60;formation sélective
62;28;10;formation sélective
62;48;6;formation sélective
62;32;13;formation sélective
62;30;0;formation sélective
63;96;72;formation sélective
63;35;8;formation sélective
63;24;0;formation sélective
63;15;0;formation sélective
63;15;0;formation sélective
63;35;9;formation sélective
63;90;5;formation sélective
63;24;8;formation sélective
63;72;2;formation sélective
63;26;0;formation sélective
63;48;28;formation sélective
63;35;0;formation sélective
63;280;45;formation non sélective
63;95;53;formation sélective
63;50;2;formation non sélective
63;50;1;formation non sélective
63;120;30;formation non sélective
63;450;132;formation non sélective
63;280;82;formation non sélective
63;120;80;formation non sélective
63;70;10;formation sélective
64;30;1;formation sélective
64;48;25;formation sélective
64;30;0;formation sélective
64;48;45;formation sélective
64;48;0;formation sélective
64;30;0;formation sélective
64;30;2;formation sélective
64;45;7;formation sélective
64;80;13;formation non sélective
64;250;127;formation non sélective
64;45;20;formation sélective
64;64;39;formation sélective
64;30;2;formation sélective
64;34;6;formation sélective
64;150;46;formation non sélective
64;34;6;formation sélective
64;30;1;formation sélective
65;30;15;formation sélective
65;27;1;formation sélective
65;85;36;formation sélective
66;40;0;formation sélective
66;35;1;formation sélective
66;16;0;formation sélective
66;120;29;formation non sélective
66;50;6;formation non sélective
66;135;15;formation non sélective
66;50;21;formation non sélective
66;40;8;formation non sélective
66;40;0;formation sélective
67;35;5;formation sélective
67;30;1;formation sélective
67;33;0;formation sélective
67;94;92;formation sélective
67;192;182;formation sélective
67;30;6;formation sélective
67;70;32;formation sélective
67;36;35;formation sélective
67;15;0;formation sélective
67;116;79;formation sélective
67;88;46;formation sélective
67;30;9;formation sélective
67;28;13;formation sélective
67;38;1;formation sélective
67;24;4;formation sélective
67;30;10;formation sélective
67;44;22;formation sélective
67;45;46;formation sélective
67;540;207;formation non sélective
67;180;62;formation non sélective
67;115;31;formation non sélective
67;60;5;formation non sélective
67;20;0;formation non sélective
67;30;0;formation non sélective
67;45;6;formation non sélective
67;40;1;formation non sélective
67;525;224;formation non sélective
67;20;5;formation non sélective
68;27;3;formation sélective
68;34;1;formation sélective
68;24;0;formation sélective
68;70;26;formation sélective
