Code départemental de l’établissement;Capacité de l’établissement par formation;Effectif des admis néo bacheliers généraux ayant eu une mention au bac;Sélectivité
59;36;3;formation sélective
59;35;2;formation sélective
59;35;0;formation sélective
59;20;1;formation sélective
59;15;0;formation sélective
59;35;0;formation sélective
59;39;4;formation sélective
59;35;3;formation sélective
59;124;16;formation sélective
59;35;0;formation sélective
60;33;9;formation sélective
60;33;0;formation sélective
